Name,WHO Region,Cases - cumulative total,,Cases - newly reported in last 7 days,,Cases - newly reported in last 24 hours,Deaths - cumulative total,,Deaths - newly reported in last 7 days,,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,133146550,,4228678,,693836,2888530,,72075,,12851,
United States of America,Americas,30615849,,451664,,74849,553801,,6857,,873,Community transmission
Brazil,Americas,13193205,,444458,,92625,340776,,19261,,3829,Community transmission
India,South-East Asia,13060542,,757411,,131968,167642,,4246,,780,Clusters of cases
France,Europe,4764318,,194620,,0,96666,,1604,,0,Community transmission
Russian Federation,Europe,4614834,,60570,,8672,101845,,2612,,365,Clusters of cases
The United Kingdom,Europe,4367295,,21503,,2762,126927,,214,,45,Community transmission
Italy,Europe,3700393,,115494,,13686,112374,,3028,,627,Clusters of cases
Turkey,Europe,3633925,,316743,,54740,32943,,1406,,276,Community transmission
Spain,Europe,3326736,,36860,,5309,76037,,240,,10,Community transmission
Germany,Europe,2930852,,97679,,20407,77707,,1164,,306,Community transmission
Poland,Europe,2499507,,142537,,27890,56659,,2994,,956,Community transmission
Colombia,Americas,2479617,,73240,,11381,64767,,1345,,243,Community transmission
Argentina,Americas,2450068,,101247,,22039,56832,,974,,198,Community transmission
Mexico,Americas,2261879,,22992,,5499,205598,,2388,,596,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1984348,,98784,,20954,63699,,1034,,193,Community transmission
Ukraine,Europe,1803998,,112261,,19419,35962,,2716,,464,Community transmission
Peru,Americas,1607898,,59091,,9305,53725,,1717,,314,Community transmission
Czechia,Europe,1567848,,28231,,7071,27466,,880,,137,Community transmission
South Africa,Africa,1554975,,5524,,1366,53173,,276,,62,Community transmission
Indonesia,South-East Asia,1552880,,35026,,5504,42227,,1173,,163,Community transmission
Netherlands,Europe,1319353,,46904,,6409,16672,,136,,23,Community transmission
Chile,Americas,1051270,,47864,,8248,23979,,651,,183,Community transmission
Canada,Americas,1028041,,45925,,7148,23173,,214,,32,Community transmission
Romania,Europe,988624,,35821,,5407,24561,,1023,,175,Community transmission
Belgium,Europe,908212,,17776,,1,23301,,262,,8,Community transmission
Iraq,Eastern Mediterranean,895622,,44698,,8331,14572,,249,,37,Community transmission
Sweden,Europe,841807,,36917,,6805,13578,,29,,0,Community transmission
Israel,Europe,835385,,2591,,652,6270,,73,,14,Community transmission
Philippines,Western Pacific,828366,,72179,,9216,14119,,816,,60,Community transmission
Portugal,Europe,825031,,3309,,663,16890,,42,,3,Clusters of cases
Pakistan,Eastern Mediterranean,700188,,32231,,4004,15026,,592,,102,Community transmission
Hungary,Europe,698490,,36769,,4814,22681,,1686,,272,Community transmission
Bangladesh,South-East Asia,666132,,48368,,6854,9521,,416,,74,Community transmission
Jordan,Eastern Mediterranean,650681,,39104,,5232,7469,,611,,86,Community transmission
Serbia,Europe,629388,,28792,,3615,5579,,271,,42,Community transmission
Switzerland,Europe,609783,,8620,,4,9718,,48,,1,Community transmission
Austria,Europe,562762,,20094,,3006,9296,,210,,46,Community transmission
Morocco,Eastern Mediterranean,499688,,3591,,663,8867,,49,,2,Clusters of cases
Japan,Western Pacific,496206,,18748,,3331,9334,,149,,33,Clusters of cases
Lebanon,Eastern Mediterranean,485918,,17518,,3120,6512,,278,,33,Community transmission
United Arab Emirates,Eastern Mediterranean,476019,,14575,,1883,1520,,23,,4,Clusters of cases
Saudi Arabia,Eastern Mediterranean,394952,,4945,,783,6719,,50,,8,Community transmission
Slovakia,Europe,368470,,5981,,1576,10322,,532,,79,Clusters of cases
Bulgaria,Europe,364419,,21786,,3556,14034,,837,,116,Clusters of cases
Panama,Americas,357277,,2226,,364,6148,,34,,2,Community transmission
Malaysia,Western Pacific,355753,,9075,,1285,1308,,30,,4,Clusters of cases
Ecuador,Americas,341619,,11231,,2015,17115,,238,,58,Community transmission
Belarus,Europe,330536,,8729,,1278,2314,,67,,10,Community transmission
Kazakhstan,Europe,312558,,12932,,0,3812,,116,,0,Clusters of cases
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,287835,,16957,,2672,3015,,134,,18,Community transmission
Georgia,Europe,286406,,4146,,761,3849,,64,,9,Community transmission
Croatia,Europe,285765,,11711,,3217,6185,,218,,36,Community transmission
Greece,Europe,285015,,21326,,3445,8607,,514,,75,Community transmission
Nepal,South-East Asia,279100,,1639,,332,3038,,7,,0,Clusters of cases
Bolivia (Plurinational State of),Americas,277966,,5555,,1076,12385,,128,,19,Community transmission
Azerbaijan,Europe,276464,,14751,,2595,3780,,213,,37,Clusters of cases
Tunisia,Eastern Mediterranean,264994,,10976,,1951,9087,,275,,48,Community transmission
Dominican Republic,Americas,256031,,2835,,1094,3378,,48,,9,Community transmission
Kuwait,Eastern Mediterranean,241469,,9366,,1517,1379,,66,,6,Community transmission
Ireland,Europe,239325,,3471,,418,4732,,45,,5,Community transmission
Republic of Moldova,Europe,237718,,7477,,1155,5268,,308,,44,Community transmission
Denmark,Europe,234931,,4328,,614,2435,,16,,3,Community transmission
Paraguay,Americas,227116,,12449,,2380,4584,,378,,62,Community transmission
Ethiopia,Africa,223665,,14704,,2121,3078,,191,,20,Community transmission
Lithuania,Europe,223127,,6122,,1107,3647,,64,,12,Community transmission
Slovenia,Europe,221889,,6267,,1189,4375,,29,,1,Clusters of cases
Costa Rica,Americas,219846,,2500,,0,3000,,35,,0,Community transmission
Egypt,Eastern Mediterranean,207293,,5162,,783,12290,,295,,37,Community transmission
Armenia,Europe,200129,,6393,,1231,3675,,142,,28,Community transmission
Guatemala,Americas,199964,,5566,,1590,6955,,115,,27,Community transmission
Honduras,Americas,193029,,3986,,616,4703,,98,,17,Community transmission
Qatar,Eastern Mediterranean,186201,,6237,,940,320,,29,,8,Community transmission
Bosnia and Herzegovina,Europe,179248,,9622,,1742,7132,,533,,80,Community transmission
Venezuela (Bolivarian Republic of),Americas,170189,,9692,,1115,1705,,103,,12,Community transmission
Oman,Eastern Mediterranean,166685,,7467,,1205,1735,,57,,7,Community transmission
Libya,Eastern Mediterranean,165287,,6330,,969,2772,,105,,7,Community transmission
Nigeria,Africa,163581,,584,,83,2058,,0,,0,Community transmission
Bahrain,Eastern Mediterranean,151931,,7486,,1120,547,,26,,2,Community transmission
Kenya,Africa,143063,,8021,,1698,2292,,125,,16,Community transmission
Myanmar,South-East Asia,142558,,92,,9,3206,,0,,0,Clusters of cases
North Macedonia,Europe,137728,,7706,,1302,4073,,292,,51,Community transmission
Albania,Europe,127192,,2035,,256,2291,,56,,8,Clusters of cases
Uruguay,Americas,126987,,21438,,3924,1231,,257,,40,Community transmission
Algeria,Africa,118116,,812,,112,3119,,23,,3,Community transmission
Estonia,Europe,112421,,5168,,757,990,,82,,14,Clusters of cases
Puerto Rico,Americas,110679,,3209,,446,2141,,23,,2,Community transmission
Republic of Korea,Western Pacific,108269,,4076,,671,1764,,27,,6,Clusters of cases
Latvia,Europe,105176,,2813,,643,1946,,47,,9,Community transmission
China,Western Pacific,103034,,244,,31,4851,,0,,0,Clusters of cases
Norway,Europe,100147,,4939,,898,683,,10,,6,Community transmission
Kosovo[1],Europe,95298,,4911,,685,1938,,76,,14,Community transmission
Sri Lanka,South-East Asia,94336,,1419,,343,593,,22,,2,Clusters of cases
Montenegro,Europe,93307,,1402,,0,1326,,40,,0,Clusters of cases
Ghana,Africa,91109,,460,,100,752,,8,,0,Community transmission
Kyrgyzstan,Europe,89660,,1122,,222,1516,,16,,4,Clusters of cases
Zambia,Africa,89592,,1043,,206,1225,,13,,1,Community transmission
Uzbekistan,Europe,84322,,1272,,195,634,,4,,1,Clusters of cases
Cuba,Americas,83515,,7239,,914,443,,18,,1,Community transmission
Finland,Europe,80416,,2964,,348,862,,18,,2,Community transmission
Mozambique,Africa,68466,,737,,35,788,,13,,3,Community transmission
El Salvador,Americas,65491,,1060,,0,2040,,26,,3,Community transmission
Luxembourg,Europe,62793,,1151,,168,762,,16,,1,Community transmission
Singapore,Western Pacific,60575,,168,,21,30,,0,,0,Sporadic cases
Cameroon,Africa,57337,,3417,,0,851,,72,,0,Community transmission
Afghanistan,Eastern Mediterranean,56943,,426,,70,2516,,27,,4,Community transmission
Cyprus,Europe,49366,,3502,,529,266,,10,,2,Clusters of cases
Namibia,Africa,45054,,680,,15,557,,29,,9,Community transmission
Côte d’Ivoire,Africa,44975,,649,,95,258,,11,,1,Community transmission
Botswana,Africa,41710,,832,,0,616,,25,,0,Community transmission
Jamaica,Americas,41604,,2061,,204,646,,47,,15,Community transmission
Uganda,Africa,41062,,173,,16,337,,2,,0,Community transmission
Senegal,Africa,39237,,455,,73,1073,,19,,3,Community transmission
Zimbabwe,Africa,37052,,156,,68,1532,,9,,1,Community transmission
Malawi,Africa,33738,,154,,20,1125,,7,,0,Community transmission
Sudan,Eastern Mediterranean,31833,,0,,0,2063,,0,,0,Clusters of cases
Thailand,South-East Asia,30869,,1922,,559,96,,2,,1,Clusters of cases
Malta,Europe,29408,,375,,65,400,,8,,1,Clusters of cases
Australia,Western Pacific,29385,,63,,6,909,,0,,0,Clusters of cases
Democratic Republic of the Congo,Africa,28474,,276,,64,745,,0,,0,Community transmission
Madagascar,Africa,26475,,1780,,348,475,,51,,6,Community transmission
Maldives,South-East Asia,25304,,925,,113,67,,0,,0,Clusters of cases
Rwanda,Africa,23152,,1234,,111,314,,6,,0,Community transmission
Angola,Africa,23108,,709,,98,549,,11,,2,Community transmission
Guinea,Africa,20554,,471,,0,131,,4,,0,Community transmission
Gabon,Africa,20265,,715,,0,124,,6,,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,19761,,852,,120,1342,,77,,10,Community transmission
Mayotte,Africa,19490,,82,,0,167,,6,,0,Community transmission
French Polynesia,Western Pacific,18647,,14,,4,141,,0,,0,Sporadic cases
Cabo Verde,Africa,18214,,627,,0,175,,6,,0,Community transmission
Mauritania,Africa,17995,,117,,40,450,,1,,0,Community transmission
Réunion,Africa,17508,,922,,0,123,,8,,0,Community transmission
Eswatini,Africa,17367,,23,,2,669,,1,,0,Community transmission
French Guiana,Americas,17318,,186,,0,94,,1,,0,Community transmission
Tajikistan,Europe,13714,,0,,0,91,,0,,0,Pending
Burkina Faso,Africa,12904,,130,,31,152,,3,,2,Community transmission
Haiti,Americas,12816,,28,,13,252,,0,,0,Community transmission
Mongolia,Western Pacific,12780,,3939,,554,18,,10,,1,Clusters of cases
Belize,Americas,12485,,29,,8,318,,1,,0,Community transmission
Andorra,Europe,12363,,353,,35,119,,4,,2,Community transmission
Somalia,Eastern Mediterranean,11978,,580,,0,576,,47,,0,Community transmission
Guadeloupe,Americas,11890,,378,,0,183,,5,,0,Community transmission
Togo,Africa,11649,,1169,,148,115,,6,,2,Community transmission
Mali,Africa,11254,,1055,,413,402,,16,,2,Community transmission
Guyana,Americas,10718,,469,,81,250,,19,,3,Clusters of cases
Lesotho,Africa,10707,,1,,0,315,,0,,0,Community transmission
Curaçao,Americas,10392,,1988,,207,58,,23,,2,Community transmission
South Sudan,Africa,10324,,127,,27,114,,2,,1,Community transmission
Congo,Africa,10084,,403,,0,137,,2,,0,Community transmission
Aruba,Americas,9834,,391,,74,92,,6,,1,Community transmission
Bahamas,Americas,9339,,168,,43,189,,1,,0,Clusters of cases
Djibouti,Eastern Mediterranean,9306,,1304,,195,90,,20,,5,Community transmission
Suriname,Americas,9200,,78,,16,178,,1,,0,Clusters of cases
Trinidad and Tobago,Americas,8235,,209,,21,145,,3,,0,Community transmission
Martinique,Americas,8163,,614,,0,54,,4,,0,Community transmission
Papua New Guinea,Western Pacific,8001,,1526,,162,68,,8,,0,Community transmission
Guam,Western Pacific,7620,,20,,2,136,,2,,0,Clusters of cases
Benin,Africa,7515,,202,,0,93,,0,,0,Community transmission
Equatorial Guinea,Africa,7059,,51,,0,104,,1,,0,Community transmission
Iceland,Europe,6251,,46,,10,29,,0,,0,Community transmission
Gambia,Africa,5564,,105,,0,166,,1,,0,Community transmission
Central African Republic,Africa,5402,,157,,0,74,,2,,0,Community transmission
Nicaragua,Americas,5366,,40,,0,179,,1,,0,Community transmission
Niger,Africa,5052,,26,,0,188,,1,,0,Community transmission
Yemen,Eastern Mediterranean,5051,,690,,72,987,,98,,10,Sporadic cases
San Marino,Europe,4904,,166,,40,85,,1,,0,Community transmission
Chad,Africa,4616,,64,,10,167,,3,,1,Community transmission
Seychelles,Africa,4395,,165,,28,23,,1,,1,Community transmission
Saint Lucia,Americas,4312,,47,,8,63,,2,,0,Community transmission
Gibraltar,Europe,4275,,1,,0,94,,0,,0,Clusters of cases
Sierra Leone,Africa,3993,,12,,0,79,,0,,0,Community transmission
Comoros,Africa,3828,,124,,0,146,,0,,0,Community transmission
Barbados,Americas,3697,,45,,6,44,,2,,1,Community transmission
Guinea-Bissau,Africa,3664,,3,,1,66,,3,,0,Community transmission
Eritrea,Africa,3393,,85,,19,10,,0,,0,Community transmission
Jersey,Europe,3230,,2,,1,69,,0,,0,Community transmission
Burundi,Africa,3078,,236,,51,6,,0,,0,Community transmission
Cambodia,Western Pacific,3028,,482,,0,24,,8,,0,Sporadic cases
United States Virgin Islands,Americas,2954,,47,,9,26,,0,,0,Community transmission
Liechtenstein,Europe,2792,,32,,0,54,,0,,0,Sporadic cases
Viet Nam,Western Pacific,2669,,52,,10,35,,0,,0,Clusters of cases
Monaco,Europe,2353,,65,,8,30,,2,,0,Sporadic cases
Turks and Caicos Islands,Americas,2344,,13,,0,17,,0,,0,Clusters of cases
Sao Tome and Principe,Africa,2255,,23,,0,35,,1,,0,Community transmission
New Zealand,Western Pacific,2205,,60,,6,26,,0,,0,Clusters of cases
Sint Maarten,Americas,2174,,27,,10,27,,0,,0,Community transmission
Liberia,Africa,2066,,13,,0,85,,0,,0,Community transmission
Saint Vincent and the Grenadines,Americas,1774,,24,,8,10,,0,,0,Community transmission
Saint Martin,Americas,1687,,30,,0,13,,1,,0,Community transmission
Bermuda,Americas,1586,,369,,89,14,,2,,0,Community transmission
Isle of Man,Europe,1572,,5,,1,29,,0,,0,No cases
Bonaire,Americas,1465,,98,,13,14,,4,,0,Community transmission
Antigua and Barbuda,Americas,1177,,30,,4,29,,1,,0,Clusters of cases
Mauritius,Africa,1112,,78,,0,12,,0,,0,Community transmission
Saint Barthélemy,Americas,910,,53,,0,1,,0,,0,Clusters of cases
Bhutan,South-East Asia,900,,14,,0,1,,0,,0,Sporadic cases
Timor-Leste,South-East Asia,877,,234,,42,1,,1,,1,Clusters of cases
Guernsey,Europe,821,,0,,0,14,,0,,0,Community transmission
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Faroe Islands,Europe,661,,0,,0,1,,0,,0,Sporadic cases
Cayman Islands,Americas,513,,13,,1,2,,0,,0,Sporadic cases
United Republic of Tanzania,Africa,509,,0,,0,21,,0,,0,Pending
Wallis and Futuna,Western Pacific,438,,20,,6,5,,1,,1,Sporadic cases
Brunei Darussalam,Western Pacific,216,,3,,1,3,,0,,0,Sporadic cases
British Virgin Islands,Americas,178,,24,,0,1,,0,,0,Clusters of cases
Dominica,Americas,165,,1,,0,0,,0,,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,160,,1,,0,2,,0,,0,Pending
Grenada,Americas,157,,2,,1,1,,0,,0,Sporadic cases
New Caledonia,Western Pacific,121,,0,,0,0,,0,,0,Sporadic cases
Fiji,Western Pacific,67,,0,,0,2,,0,,0,Sporadic cases
Falkland Islands (Malvinas),Americas,52,,1,,0,0,,0,,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,49,,0,,0,0,,0,,0,Sporadic cases
Saint Kitts and Nevis,Americas,44,,0,,0,0,,0,,0,Sporadic cases
Greenland,Europe,31,,0,,0,0,,0,,0,No cases
Holy See,Europe,26,,0,,0,0,,0,,0,Sporadic cases
Anguilla,Americas,25,,0,,0,0,,0,,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,,0,,0,0,,0,,0,No cases
Montserrat,Americas,20,,0,,0,1,,0,,0,No cases
Sint Eustatius,Americas,20,,0,,0,0,,0,,0,No cases
Solomon Islands,Western Pacific,19,,0,,0,0,,0,,0,No cases
Saba,Americas,6,,0,,0,0,,0,,0,No cases
Marshall Islands,Western Pacific,4,,0,,0,0,,0,,0,No cases
Samoa,Western Pacific,4,,0,,0,0,,0,,0,No cases
Vanuatu,Western Pacific,3,,0,,0,0,,0,,0,No cases
American Samoa,Western Pacific,0,,0,,0,0,,0,,0,No cases
Cook Islands,Western Pacific,0,,0,,0,0,,0,,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,,0,,0,0,,0,,0,No cases
Kiribati,Western Pacific,0,,0,,0,0,,0,,0,No cases
Micronesia (Federated States of),Western Pacific,0,,0,,0,0,,0,,0,No cases
Nauru,Western Pacific,0,,0,,0,0,,0,,0,No cases
Niue,Western Pacific,0,,0,,0,0,,0,,0,No cases
Palau,Western Pacific,0,,0,,0,0,,0,,0,No cases
Pitcairn Islands,Western Pacific,0,,0,,0,0,,0,,0,No cases
Tokelau,Western Pacific,0,,0,,0,0,,0,,0,No cases
Tonga,Western Pacific,0,,0,,0,0,,0,,0,No cases
Turkmenistan,Europe,0,,0,,0,0,,0,,0,No cases
Tuvalu,Western Pacific,0,,0,,0,0,,0,,0,No cases
